"","file","object_id","tabular","semantic","definition_list","header_row","header_column","rule_1_violation","rule_2_violation","rule_3_violation","rule_4_violation","violations_sum"
"3762","1575597-3",980,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3763","1576522-14",36231,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3764","1575878-5",6754,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3765","1576024-0",1240,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3766","1575946-2",2161,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3767","1576505-15",15702,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3768","1576136-1",1727,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"3769","1575698-3",13678,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
"3770","1575945-15",15165,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3771","1575923-7",18465,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3772","1576569-4",985,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3773","1576541-15",8714,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3774","1576566-2",522,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3775","1575399-4",1335,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3776","1576505-6",6381,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3777","1575189-8",2079,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3778","1575446-11",1835,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3779","1575159-12",24611,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"3780","1575784-0",199,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"3781","1575946-4",4159,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3782","1575947-6",6161,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3783","1576379-0",97,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"3784","1576046-5",2114,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"3785","1576158-6",931,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3786","1576566-0",113,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3787","1576573-8",1602,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3788","1575078-11",25703,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3789","1576046-4",1725,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"3790","1576163-4",629,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"3791","1576355-3",3641,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"3792","1576565-12",2234,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3793","1576580-17",3037,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3794","1576287-13",3440,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"3795","1576400-4",8479,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"3796","1575645-1",4202,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3797","1576565-10",1970,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3798","1575484-0",161,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0
"3799","1576575-5",1279,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3800","1576566-15",2840,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3801","1576575-10",2047,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3802","1576576-2",1037,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3803","1576581-1",328,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3804","1576765-2",6431,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"3805","1576572-16",2917,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3806","1576445-12",11337,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3807","1576565-6",1279,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3808","1576565-12",2319,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3809","1576572-0",154,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3810","1576573-8",1649,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3811","1576706-7",2411,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3812","1576576-11",2574,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3813","1576835-11",18218,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"3814","1576579-6",2018,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3815","1576726-8",4283,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3816","1576580-15",2619,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3817","1576581-9",1586,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3818","1576580-8",1314,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3819","1575608-11",1959,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3820","1575515-11",3957,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"3821","1575878-10",13984,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3822","1576569-8",1718,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3823","1576573-14",2609,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3824","1576772-14",1929,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"3825","1576581-15",2792,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"3826","1576241-13",32023,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3827","1576569-8",1759,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3828","1576766-10",38708,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3829","1576572-7",1524,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3830","1576033-9",6481,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3831","1576870-0",187,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3832","1576130-7",3744,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
